=== Final Test Metrics ===
Accuracy: 0.6880
Precision: 0.6439
Recall: 0.5179
F1: 0.5284
=== Model Settings ===
model: 2-layer GCN
layer_dimensions: input -> hidden -> output = depends on data -> 16 -> num_classes
dropout: 0.5
activation: ReLU
optimizer: Adam
learning_rate: 0.01
weight_decay: 0.0005
epochs: 200
eval_interval: 10
initialization: PyTorch default (Kaiming for Linear layers)
dataset: citeseer
input_dim: 3703
output_dim: 6

=== Evaluation History ===
Epoch 10: Acc=0.6130, Prec=0.5600, Rec=0.3781, F1=0.3485
Epoch 20: Acc=0.6730, Prec=0.6317, Rec=0.4993, F1=0.4879
Epoch 30: Acc=0.6720, Prec=0.6017, Rec=0.4986, F1=0.4908
Epoch 40: Acc=0.6780, Prec=0.6214, Rec=0.5046, F1=0.4971
Epoch 50: Acc=0.6830, Prec=0.6232, Rec=0.5109, F1=0.5091
Epoch 60: Acc=0.6920, Prec=0.6433, Rec=0.5268, F1=0.5281
Epoch 70: Acc=0.6960, Prec=0.6504, Rec=0.5304, F1=0.5312
Epoch 80: Acc=0.6800, Prec=0.6242, Rec=0.5000, F1=0.5008
Epoch 90: Acc=0.6930, Prec=0.6414, Rec=0.5202, F1=0.5245
Epoch 100: Acc=0.6920, Prec=0.6308, Rec=0.5217, F1=0.5223
Epoch 110: Acc=0.6880, Prec=0.6312, Rec=0.5181, F1=0.5261
Epoch 120: Acc=0.6930, Prec=0.6413, Rec=0.5284, F1=0.5325
Epoch 130: Acc=0.6910, Prec=0.6142, Rec=0.5166, F1=0.5175
Epoch 140: Acc=0.6980, Prec=0.6294, Rec=0.5279, F1=0.5312
Epoch 150: Acc=0.6960, Prec=0.6506, Rec=0.5300, F1=0.5382
Epoch 160: Acc=0.6950, Prec=0.6385, Rec=0.5221, F1=0.5260
Epoch 170: Acc=0.6980, Prec=0.6450, Rec=0.5304, F1=0.5393
Epoch 180: Acc=0.6990, Prec=0.6458, Rec=0.5341, F1=0.5441
Epoch 190: Acc=0.7000, Prec=0.6377, Rec=0.5405, F1=0.5477
Epoch 200: Acc=0.6880, Prec=0.6439, Rec=0.5179, F1=0.5284
