=== Final Test Metrics ===
Accuracy: 0.8350
Precision: 0.8192
Recall: 0.8385
F1: 0.8250
=== Model Settings ===
model: 2-layer GCN
layer_dimensions: input -> hidden -> output = depends on data -> 16 -> num_classes
dropout: 0.7
activation: ReLU
optimizer: Adam
learning_rate: 0.01
weight_decay: 0.0005
epochs: 200
eval_interval: 10
initialization: PyTorch default (Kaiming for Linear layers)
dataset: cora
input_dim: 1433
output_dim: 7

=== Evaluation History ===
Epoch 10: Acc=0.5030, Prec=0.5871, Rec=0.3437, F1=0.3337
Epoch 20: Acc=0.7630, Prec=0.7961, Rec=0.7041, F1=0.7050
Epoch 30: Acc=0.8290, Prec=0.8228, Rec=0.8027, F1=0.8084
Epoch 40: Acc=0.8250, Prec=0.8072, Rec=0.8123, F1=0.8049
Epoch 50: Acc=0.8270, Prec=0.8126, Rec=0.8201, F1=0.8119
Epoch 60: Acc=0.8300, Prec=0.8178, Rec=0.8248, F1=0.8171
Epoch 70: Acc=0.8270, Prec=0.8089, Rec=0.8254, F1=0.8101
Epoch 80: Acc=0.8370, Prec=0.8215, Rec=0.8366, F1=0.8259
Epoch 90: Acc=0.8310, Prec=0.8237, Rec=0.8169, F1=0.8160
Epoch 100: Acc=0.8350, Prec=0.8140, Rec=0.8405, F1=0.8235
Epoch 110: Acc=0.8330, Prec=0.8213, Rec=0.8265, F1=0.8209
Epoch 120: Acc=0.8220, Prec=0.8001, Rec=0.8263, F1=0.8030
Epoch 130: Acc=0.8430, Prec=0.8228, Rec=0.8430, F1=0.8292
Epoch 140: Acc=0.8110, Prec=0.7983, Rec=0.8137, F1=0.7977
Epoch 150: Acc=0.8320, Prec=0.8109, Rec=0.8360, F1=0.8157
Epoch 160: Acc=0.8270, Prec=0.8063, Rec=0.8309, F1=0.8128
Epoch 170: Acc=0.8320, Prec=0.8150, Rec=0.8295, F1=0.8177
Epoch 180: Acc=0.8280, Prec=0.8063, Rec=0.8334, F1=0.8159
Epoch 190: Acc=0.8310, Prec=0.8150, Rec=0.8351, F1=0.8196
Epoch 200: Acc=0.8350, Prec=0.8192, Rec=0.8385, F1=0.8250
