=== Final Test Metrics ===
Accuracy: 0.8260
Precision: 0.8044
Recall: 0.8318
F1: 0.8072
=== Model Settings ===
model: 2-layer GCN
layer_dimensions: input -> hidden -> output = depends on data -> 16 -> num_classes
dropout: 0.5
activation: ReLU
optimizer: Adam
learning_rate: 0.01
weight_decay: 0.0005
epochs: 200
eval_interval: 10
initialization: PyTorch default (Kaiming for Linear layers)
dataset: cora
input_dim: 1433
output_dim: 7

=== Evaluation History ===
Epoch 10: Acc=0.5530, Prec=0.6360, Rec=0.4175, F1=0.3884
Epoch 20: Acc=0.7840, Prec=0.8030, Rec=0.7276, F1=0.7322
Epoch 30: Acc=0.8100, Prec=0.7994, Rec=0.7819, F1=0.7820
Epoch 40: Acc=0.8230, Prec=0.8080, Rec=0.8174, F1=0.8062
Epoch 50: Acc=0.8270, Prec=0.8123, Rec=0.8199, F1=0.8122
Epoch 60: Acc=0.8170, Prec=0.8009, Rec=0.8136, F1=0.7964
Epoch 70: Acc=0.8340, Prec=0.8147, Rec=0.8332, F1=0.8171
Epoch 80: Acc=0.8270, Prec=0.8047, Rec=0.8293, F1=0.8078
Epoch 90: Acc=0.8260, Prec=0.8071, Rec=0.8289, F1=0.8103
Epoch 100: Acc=0.8280, Prec=0.8094, Rec=0.8279, F1=0.8087
Epoch 110: Acc=0.8240, Prec=0.8020, Rec=0.8290, F1=0.8080
Epoch 120: Acc=0.8220, Prec=0.8008, Rec=0.8250, F1=0.8041
Epoch 130: Acc=0.8290, Prec=0.8101, Rec=0.8383, F1=0.8170
Epoch 140: Acc=0.8210, Prec=0.8018, Rec=0.8277, F1=0.8041
Epoch 150: Acc=0.8200, Prec=0.7993, Rec=0.8180, F1=0.8022
Epoch 160: Acc=0.8200, Prec=0.8004, Rec=0.8278, F1=0.8045
Epoch 170: Acc=0.8330, Prec=0.8143, Rec=0.8407, F1=0.8202
Epoch 180: Acc=0.8230, Prec=0.7999, Rec=0.8250, F1=0.8073
Epoch 190: Acc=0.8280, Prec=0.8074, Rec=0.8333, F1=0.8136
Epoch 200: Acc=0.8260, Prec=0.8044, Rec=0.8318, F1=0.8072
