=== Final Test Metrics ===
Accuracy: 0.7880
Precision: 0.7799
Recall: 0.7984
F1: 0.7853
=== Model Settings ===
model: 2-layer GCN
layer_dimensions: input -> hidden -> output = depends on data -> 16 -> num_classes
dropout: 0.7
activation: ReLU
optimizer: Adam
learning_rate: 0.01
weight_decay: 0.0005
epochs: 200
eval_interval: 10
initialization: PyTorch default (Kaiming for Linear layers)
dataset: pubmed
input_dim: 500
output_dim: 3

=== Evaluation History ===
Epoch 10: Acc=0.7410, Prec=0.7296, Rec=0.7550, F1=0.7387
Epoch 20: Acc=0.7520, Prec=0.7464, Rec=0.7636, F1=0.7534
Epoch 30: Acc=0.7600, Prec=0.7516, Rec=0.7713, F1=0.7591
Epoch 40: Acc=0.7690, Prec=0.7622, Rec=0.7764, F1=0.7673
Epoch 50: Acc=0.7780, Prec=0.7700, Rec=0.7900, F1=0.7757
Epoch 60: Acc=0.7920, Prec=0.7881, Rec=0.7971, F1=0.7898
Epoch 70: Acc=0.7830, Prec=0.7741, Rec=0.7930, F1=0.7806
Epoch 80: Acc=0.7900, Prec=0.7818, Rec=0.7966, F1=0.7873
Epoch 90: Acc=0.7900, Prec=0.7790, Rec=0.8007, F1=0.7864
Epoch 100: Acc=0.7890, Prec=0.7791, Rec=0.7947, F1=0.7858
Epoch 110: Acc=0.7830, Prec=0.7751, Rec=0.7938, F1=0.7799
Epoch 120: Acc=0.7870, Prec=0.7794, Rec=0.7956, F1=0.7847
Epoch 130: Acc=0.7830, Prec=0.7716, Rec=0.7918, F1=0.7797
Epoch 140: Acc=0.7910, Prec=0.7863, Rec=0.7997, F1=0.7885
Epoch 150: Acc=0.7840, Prec=0.7717, Rec=0.7934, F1=0.7802
Epoch 160: Acc=0.7770, Prec=0.7667, Rec=0.7887, F1=0.7729
Epoch 170: Acc=0.7880, Prec=0.7784, Rec=0.7924, F1=0.7843
Epoch 180: Acc=0.7830, Prec=0.7719, Rec=0.7952, F1=0.7793
Epoch 190: Acc=0.7880, Prec=0.7793, Rec=0.7939, F1=0.7848
Epoch 200: Acc=0.7880, Prec=0.7799, Rec=0.7984, F1=0.7853
